,zc
1700,60611
1701,60611
1702,60610
1703,60654
1704,60661
1705,60661
1706,60657
1707,606476
1708,60657
1709,60603
1710,60644
1711,60606
1712,60601
1713,60651
1714,60602
1715,60696
1716,60661
1717,60651
1718,60611
1719,60611
1720,60661
1721,60611
1722,60696
1723,60651
1724,60696
1725,60661
1726,60606
1727,60661
1728,60647
1729,60601
1730,60657
1731,60657
1732,60657
1733,60657
1734,60657
1735,60604
1736,60606
1737,60654
1738,60661
1739,60604
1740,60604
1741,60604
1742,60661
1743,60601
1744,60614
1745,60610
1746,60604
1747,60614
1748,60614
1749,60610
1750,60610
1751,60614
1752,60610
1753,60602
1754,60601
1755,60610
1756,60604
1757,60610
1758,60601
1759,9020
1760,60618
1761,60601
1762,60601
1763,60606
1764,60606
1765,60601
1766,60606
1767,60601
1768,60606
1769,60606
1770,60601
1771,60607
1772,60606
1773,60610
1774,60626
1775,60611
1776,60610
1777,60611
1778,60661
1779,60606
1780,60607
1781,60610
1782,60611
1783,60640
1784,60640
1785,60606
1786,60614
1787,60610
1788,60661
1789,60654
1790,60610
1791,60610
1792,60610
1793,60606
1794,60606
1795,60606
1796,60606
1797,60606
1798,60626
1799,60616
1800,60642
1801,60661
1802,60661
1803,60642
1804,60626
1805,60602
1806,60604
1807,60645
1808,60610
1809,nan
1810,60614
1811,60611
1812,60657
1813,60657
1814,60657
1815,60657
1816,60657
1817,60657
1818,60657
1819,60657
1820,60604
1821,60657
1822,60610
1823,60601
1824,60601
1825,60601
1826,60622
1827,60607
1828,60626
1829,60654
1830,nan
1831,60606
1832,60604
1833,60606
1834,60661
1835,60606
1836,60604
1837,60654
1838,60661
1839,60601
1840,60654
1841,60618
1842,nan
1843,nan
1844,60606
1845,60606
1846,9020
1847,60618
1848,60601
1849,60618-9997
1850,9020
1851,60618
1852,60618-9997
1853,60618
1854,60620
1855,60612
1856,60605
1857,60613
1858,60601
1859,60601
1860,60657
1861,60657
1862,nan
1863,60614
1864,60614
1865,60610
1866,60647
1867,60611
1868,60611
1869,60661
1870,60606
1871,60609
1872,60614
1873,60622
1874,60622
1875,60657
1876,60657
1877,60657
1878,60654
1879,60661
1880,60654
1881,60661
1882,60654
1883,60607
1884,60654
1885,60610
1886,60661
1887,60661
1888,60661
1889,60611
1890,60601
1891,60654
1892,60606
1893,60654
1894,60601
1895,60606
1896,60640
1897,60661
1898,60606
1899,60613
1900,60661
1901,60651
1902,60696
1903,60611
1904,60601
1905,60654
1906,60651
1907,60661
1908,60611
1909,60611
1910,60611
1911,60625
1912,60618
1913,60657
1914,60640
1915,60637
1916,60657
1917,60647
1918,nan
1919,60647
1920,60661
1921,60604
1922,60654
1923,60606
1924,60661
1925,60654
1926,nan
1927,60661
1928,60654
1929,60661
1930,60604
1931,60604
1932,60614
1933,60614
1934,60614
1935,60642
1936,60604
1937,60614
1938,60611
1939,60610
1940,60622
1941,60614
1942,60657
1943,60614
1944,60610
1945,60606
1946,60610
1947,60614
1948,60610
1949,60610
1950,60610
1951,60661
1952,60637
1953,60601
1954,60637
1955,60618-9997
1956,60618-9997
1957,9020
1958,60661
1959,60610
1960,60618
1961,60618
1962,90615
1963,60607
1964,60614
1965,60614
1966,606476
1967,60614
1968,60614
1969,nan
1970,60651
1971,60610
1972,60661
1973,60654
1974,60614
1975,60625
1976,60610
1977,60614
1978,60614
1979,60610
1980,60610
1981,60614
1982,60610
1983,60613
1984,60611
1985,60661
1986,60637
1987,60606
1988,60611
1989,60613
1990,60661
1991,60654
1992,60610
1993,60611
1994,60607
1995,60606
1996,60606
1997,60606
1998,60201
1999,60601
2000,60601
2001,60605
2002,606476
2003,60657
2004,60657
2005,60625
2006,nan
2007,60625
2008,60610
2009,60614
2010,60607
2011,60614
2012,60647
2013,60613
2014,60661
2015,60610
2016,60614
2017,60610
2018,60614
2019,60610
2020,60610
2021,60614
2022,60614
2023,60614
2024,60614
2025,60647
2026,60622
2027,60610
2028,60610
2029,60614
